year,manuf_name,num_manuf,brand,num_brand,model_name,price,cylinder,weight,horsepower,fuel_cost,nb_households,sj,i1b_poids_vide,i1b_puis_fisc,i1b_cylindree,i1b_euro_km,i2b_poids_vide,i2b_puis_fisc,i2b_cylindree,i2b_euro_km,i3b_poids_vide,i3b_puis_fisc,i3b_cylindree,i3b_euro_km
2003,"CHRYSLER",2,"CHRYSLER",4,"VOYAGER",3.8206,2.499,19.5,9,6.583112,7185267,.0001356,.895687616,.893478,.9261640686,.8507788,.2239801238,.241617,.2542153288,.2328333,.3357402608,.306376,.3094292483,.2832831
2003,"CHRYSLER",2,"JEEP",15,"CHEROKEE",3.57803,2.499,19.03,10,8.107281,7185267,.000012,.895687616,.893478,.9261640686,.8507788,.2452910683,.259,.2772131197,.2530068,.6703475329,.668276,.6827989792,.6094472
2003,"CHRYSLER",2,"JEEP",15,"CHEROKEE",3.828758,2.776,19.56,11,8.885579,7185267,.0000595,.895687616,.893478,.9261640686,.8507788,.2452910683,.259,.2772131197,.2530068,.6703475329,.668276,.6827989792,.6094472
2003,"CHRYSLER",2,"JEEP",15,"G.CHEROKE",5.202476,2.685,19.8,11,8.269426,7185267,.000141,.895687616,.893478,.9261640686,.8507788,.2660281293,.276382,.2969103017,.268559,.6703475329,.668276,.6827989792,.6094472
2003,"CHRYSLER",2,"JEEP",15,"WRANGLER",2.574672,2.429,15.24,10,12.43681,7185267,6.68e-06,.895687616,.893478,.9261640686,.8507788,.2534799449,.253785,.2687410499,.2329667,.6703475329,.668276,.6827989792,.6094472
2003,"CHRYSLER",2,"JEEP",15,"WRANGLER",2.729035,3.96,15.93,14,15.79675,7185267,.0000107,.895687616,.893478,.9261640686,.8507788,.2534799449,.253785,.2687410499,.2329667,.6703475329,.668276,.6827989792,.6094472
2003,"DAIMLER",3,"CHRYSLER",4,"SEBRING",4.170121,2.736,15.9,14,12.18607,7185267,2.67e-06,.8617470956,.850546,.8864787744,.8194621,.6355760201,.747449,.73152596,.6003988,1.316853043,1.37026,1.380654123,1.144202
2003,"DAIMLER",3,"CHRYSLER",4,"SEBRING",4.170121,2.736,15.9,14,12.78785,7185267,5.34e-06,.8617470956,.850546,.8864787744,.8194621,.6355760201,.747449,.73152596,.6003988,1.316853043,1.37026,1.380654123,1.144202
2003,"DAIMLER",3,"CHRYSLER",4,"SEBRING",3.520144,1.996,15.25,9,10.02968,7185267,6.68e-07,.8617470956,.850546,.8864787744,.8194621,.6355760201,.747449,.73152596,.6003988,1.316853043,1.37026,1.380654123,1.144202
2003,"DAIMLER",3,"MERCEDES",22,"CLASSE A",2.298253,1.689,10.8,4,4.118499,7185267,3.34e-06,.8617470956,.850546,.8864787744,.8194621,.6274092159,.766569,.7263164737,.6173205,.9357993925,.90128,.9630844993,.8662964
